source_section,source_group,source_group_name,target_section,target_group,target_group_name,money_flow
F,41,Строительство зданий,N,80,Охрана и безопасность,108500.97
O,84,Государственное управление,A,02,Лесоводство и лесозаготовки,94708.2
Q,88,Социальные услуги,J,61,Телекоммуникации,93457.5
N,80,Охрана и безопасность,Q,86,Здравоохранение,90103.8
B,6,Добыча нефти и газа,G,46,Оптовая торговля,90000.0
R,90,Творчество и искусство,J,61,Телекоммуникации,87723.88
Q,86,Здравоохранение,H,52,Складское хозяйство,80431.5
E,38,Утилизация отходов,D,35,"Электроэнергия, газ и пар",79858.86
Q,88,Социальные услуги,F,41,Строительство зданий,76460.57
N,80,Охрана и безопасность,E,36,Водоснабжение,75599.0
Q,87,Уход с обеспечением проживания,J,63,Информационные технологии,71625.06
C,21,Производство лекарств,H,52,Складское хозяйство,70217.92
M,69,Юридические и бухгалтерские услуги,IP,IP,ИП / Физлицо,60176.38
E,36,Водоснабжение,F,43,Специализированные строительные работы,60000.0
Q,86,Здравоохранение,E,38,Утилизация отходов,56671.8
P,85,Образование,Q,86,Здравоохранение,52975.0
C,10,Производство пищевых продуктов,E,38,Утилизация отходов,47089.12
O,84,Государственное управление,G,47,Розничная торговля,46817.5
P,85,Образование,R,93,Спорт и отдых,45570.0
F,43,Специализированные строительные работы,IP,IP,ИП / Физлицо,44625.0
B,5,Добыча угля,C,21,Производство лекарств,39870.0
P,85,Образование,E,38,Утилизация отходов,30497.93
K,65,Страхование,N,81,Обслуживание зданий и территорий,30047.16
O,84,Государственное управление,C,20,Производство химических веществ,25467.2
F,41,Строительство зданий,D,35,"Электроэнергия, газ и пар",24564.7
K,65,Страхование,F,41,Строительство зданий,22874.96
Q,88,Социальные услуги,P,85,Образование,20149.85
K,65,Страхование,J,61,Телекоммуникации,18807.68
P,85,Образование,G,47,Розничная торговля,17202.620000000003
P,85,Образование,K,65,Страхование,14323.82
P,85,Образование,C,14,Производство одежды,13532.0
J,62,Разработка программного обеспечения,J,61,Телекоммуникации,12959.0
J,63,Информационные технологии,C,17,Производство бумаги,12616.0
Q,86,Здравоохранение,C,14,Производство одежды,9000.0
Q,88,Социальные услуги,J,58,Издательская деятельность,3525.7
